Patrón N+ADJ+ADJ,Estado,Patrón en Glosario,Noun en Glosario,Adj1 en Glosario,Adj2 en Glosario,N1+Adj1 en Glosario,Adj1 en Lista Específica,Adj2 en Lista Específica,Contexto
actividad laboral destinada,Parcialmente encontrado,No,Sí,Sí,No,No,Sí,No,"establecidos en el apartado 2, o el desempeño de una actividad laboral destinada a adquirir actividad laboral destinada adecuada a los correspondientes niveles de estudios, en los términos establecidos en el apartado 3."
práctica profesional adecuada,Parcialmente encontrado,No,No,Sí,No,No,Sí,No,"el desempeño de una actividad laboral destinada a adquirir una práctica profesional adecuada a los práctica profesional adecuada estudios, en los términos establecidos en el apartado 3. 2. El contrato de formación en"
actividad laboral retribuida,Parcialmente encontrado,No,Sí,Sí,No,No,Sí,No,"tendrá por objeto compatibilizar la actividad laboral retribuida con los correspondientes procesos formativos en el actividad laboral retribuida formación profesional, los estudios universitarios o del Catálogo de especialidades formativas del Sistema Nacional de"
cualificación profesional reconocida,Parcialmente encontrado,No,No,Sí,No,No,Sí,No,"cualificación profesional reconocida por las titulaciones o certificados requeridos para concertar un contrato formativo para cualificación profesional reconocida práctica profesional regulada en el apartado 3. Sin perjuicio de lo anterior, se podrán realizar"
práctica profesional regulada,Parcialmente encontrado,No,No,Sí,No,No,Sí,No,"práctica profesional regulada en el apartado 3. Sin perjuicio de lo anterior, se podrán realizar práctica profesional regulada estudios de formación profesional o universitaria con personas que posean otra titulación siempre que no"
contrato formativo previo,Parcialmente encontrado,No,Sí,No,No,No,No,No,en una formación del mismo nivel formativo y del mismo sector productivo. b) En el contrato formativo previo el contrato se suscriba en el marco de certificados de profesionalidad de nivel 1 y
persona tutora designada,Parcialmente encontrado,No,Sí,Sí,No,No,No,No,"última, que deberá contar con la formación o experiencia adecuadas para tales tareas, tendrá como persona tutora designada al plan formativo individual en la empresa, según lo previsto en el acuerdo de cooperación"
plan formativo individual,Parcialmente encontrado,No,Sí,No,Sí,No,No,No,"formativa. Dicho centro o entidad deberá, a su vez, garantizar la coordinación con la persona plan formativo individual empresa. e) Los centros de formación profesional, las entidades formativas acreditadas o inscritas y los"
entidades formativas acreditadas,Parcialmente encontrado,No,Sí,No,No,No,No,No,"formativos individuales donde se especifique el contenido de la formación, el calendario y las actividades entidades formativas acreditadas de tutoría para el cumplimiento de sus objetivos. f) Son parte sustancial de este contrato"
planes formativos individuales,Parcialmente encontrado,No,Sí,No,Sí,No,No,No,"este contrato tanto la formación teórica dispensada por el centro o entidad de formación o planes formativos individuales cuando así se establezca, como la correspondiente formación práctica dispensada por la empresa y el"
formación teórica dispensada,Parcialmente encontrado,No,No,Sí,No,No,No,No,"impartición y las características de la formación, así como los aspectos relacionados con la financiación formación teórica dispensada formativa. g) La duración del contrato será la prevista en el correspondiente plan o programa"
formación práctica dispensada,No encontrado,No,No,No,No,No,No,No,"contrato será la prevista en el correspondiente plan o programa formativo, con un mínimo de formación práctica dispensada un máximo de dos años, y podrá desarrollarse al amparo de un solo contrato de"
periodos anuales coincidentes,No encontrado,No,No,No,No,No,No,No,"contrato formativo, podrá prorrogarse mediante acuerdo de las partes, hasta la obtención de dicho título, periodos anuales coincidentes diploma sin superar nunca la duración máxima de dos años. h) Solo podrá celebrarse un"
jornada máxima prevista,No encontrado,No,No,No,No,No,No,No,"podrán realizar horas complementarias ni horas extraordinarias, salvo en el supuesto previsto en el artículo jornada máxima prevista realizar trabajos nocturnos ni trabajo a turnos. Excepcionalmente, podrán realizarse actividades laborales en los citados"
jornada máxima legal,Parcialmente encontrado,No,No,No,Sí,No,No,No,"ni trabajo a turnos. Excepcionalmente, podrán realizarse actividades laborales en los citados periodos cuando las jornada máxima legal la adquisición de los aprendizajes previstos en el plan formativo no puedan desarrollarse en otros"
nivel retributivo correspondiente,No encontrado,No,No,No,No,Sí,No,No,"19 de junio, de las Cualificaciones y de la Formación Profesional, así como con quienes nivel retributivo correspondiente equivalente de enseñanzas artísticas o deportivas del sistema educativo, que habiliten o capaciten para el"
salario mínimo interprofesional,Encontrado en glosario,Sí,Sí,No,No,No,No,No,"sistema educativo, que habiliten o capaciten para el ejercicio de la actividad laboral. b) El salario mínimo interprofesional para la obtención de práctica profesional deberá concertarse dentro de los tres años, o de"
práctica profesional adecuada,Parcialmente encontrado,No,No,Sí,No,No,Sí,No,"práctica profesional deberá concertarse dentro de los tres años, o de los cinco años si práctica profesional adecuada una persona con discapacidad, siguientes a la terminación de los correspondientes estudios. No podrá suscribirse"
ámbito sectorial estatal,Parcialmente encontrado,No,No,Sí,No,No,No,No,"la misma titulación, salvo que al ser contratado por primera vez mediante un contrato para ámbito sectorial estatal práctica profesional la persona trabajadora estuviera ya en posesión del título superior de que se"
convenios colectivos sectoriales,Encontrado en glosario,Sí,Sí,Sí,Sí,No,No,No,un contrato para la realización de práctica profesional la persona trabajadora estuviera ya en posesión convenios colectivos sectoriales de que se trate. e) Se podrá establecer un periodo de prueba que en ningún
práctica profesional adecuada,Parcialmente encontrado,No,No,Sí,No,No,Sí,No,desempeñadas. En ningún caso la retribución podrá ser inferior a la retribución mínima establecida para práctica profesional adecuada la formación en alternancia ni al salario mínimo interprofesional en proporción al tiempo de trabajo
plan formativo individual,Parcialmente encontrado,No,Sí,No,Sí,No,No,No,la formación en alternancia ni al salario mínimo interprofesional en proporción al tiempo de trabajo plan formativo individual se desarrollará el alcance de la formación correspondiente al contrato de formación para la obtención
convenio colectivo aplicable,Parcialmente encontrado,No,Sí,Sí,No,Sí,No,No,"incapacidad temporal, nacimiento, adopción, guarda con fines de adopción, acogimiento, riesgo durante el embarazo, riesgo convenio colectivo aplicable violencia de género, interrumpirán el cómputo de la duración del contrato. c) El contrato, que"
nivel retributivo correspondiente,No encontrado,No,No,No,No,Sí,No,No,"violencia de género, interrumpirán el cómputo de la duración del contrato. c) El contrato, que nivel retributivo correspondiente escrito de conformidad con lo establecido en el artículo 8, incluirá obligatoriamente el texto del"
retribución mínima establecida,Parcialmente encontrado,No,Sí,No,No,Sí,No,No,"escrito de conformidad con lo establecido en el artículo 8, incluirá obligatoriamente el texto del retribución mínima establecida al que se refieren los apartados 2. b), c), d), e), g), h) y k)"
salario mínimo interprofesional,Encontrado en glosario,Sí,Sí,No,No,No,No,No,"texto del plan formativo individual al que se refieren los apartados 2. b), c), d), salario mínimo interprofesional y k) y 3.e) y f), en el que se especifiquen el contenido de las"
acciones formativas específicas,Parcialmente encontrado,No,Sí,No,No,No,No,No,"de tutoría para el cumplimiento de sus objetivos. Igualmente, incorporará el texto de los acuerdos acciones formativas específicas los que se refiere el apartado 2.e). d) Los límites de edad y en la"
plan formativo individual,Parcialmente encontrado,No,Sí,No,Sí,No,No,No,"ámbito inferior, se podrán determinar los puestos de trabajo, actividades, niveles o grupos profesionales que plan formativo individual medio de contrato formativo. f) Las empresas que estén aplicando algunas de las medidas de"
exclusión social previstos,Parcialmente encontrado,No,Sí,Sí,No,No,Sí,No,"ley o aquellos respecto de los cuales la empresa incumpla sus obligaciones formativas se entenderán exclusión social previstos indefinidos de carácter ordinario. i) Reglamentariamente se establecerán, previa consulta con las administraciones competentes en"
registro administrativo correspondiente,Parcialmente encontrado,No,Sí,Sí,No,Sí,No,No,"celebración de los mismos, tales como el número de contratos por tamaño de centro de registro administrativo correspondiente en formación por tutor o tutora, o las exigencias en relación con la estabilidad de"
ámbito sectorial estatal,Parcialmente encontrado,No,No,Sí,No,No,No,No,"pondrá en conocimiento de la representación legal de las personas trabajadoras los acuerdos de cooperación ámbito sectorial estatal que contemplen la contratación formativa, incluyendo la información relativa a los planes o programas formativos"
convenios colectivos sectoriales,Encontrado en glosario,Sí,Sí,Sí,Sí,No,No,No,"de cooperación educativa o formativa que contemplen la contratación formativa, incluyendo la información relativa a convenios colectivos sectoriales programas formativos individuales, así como a los requisitos y las condiciones en las que se"
flexibilidad interna reguladas,Parcialmente encontrado,No,Sí,Sí,No,No,No,No,"diversos contratos vinculados a un único ciclo, certificado o itinerario en los términos referidos en flexibilidad interna reguladas la empresa deberá trasladar a la representación legal de las personas trabajadoras toda la información"
contratos formativos celebrados,Parcialmente encontrado,No,Sí,No,No,No,No,No,"Las empresas que pretendan suscribir contratos formativos, podrán solicitar por escrito al servicio público de contratos formativos celebrados relativa a si las personas a las que pretenden contratar han estado previamente contratadas bajo"
programas formativos individuales,Parcialmente encontrado,No,Sí,No,Sí,No,No,No,programas formativos individuales
