Patrón N+ADJ+PREP+NOUN,Estado,Noun en Glosario,Adj1 en Glosario,N2 en Glosario,N1+Adj1 en Glosario,Adj1 en Lista Específica,Contexto
trabajo retribuido por  contar,Encontrado en glosario,Sí,No,Sí,Sí,No,11. Contrato formativo. 1. El contrato formativo tendrá por objeto la formación en alternancia con el trabajo retribuido por cuenta trabajo retribuido por  contar vo
término establecido en el apartado,Encontrado en glosario,Sí,No,No,Sí,No,tendrá por objeto la formación en alternancia con el trabajo retribuido por cuenta ajena en los términos establecidos en el término establecido en el apartado 1
término establecido en el apartado,Encontrado en glosario,Sí,No,No,Sí,No,"a adquirir una práctica profesional adecuada a los correspondientes niveles de estudios, en los términos establecidos en el apartado 3. término establecido en el apartado 1"
proceso formativo en el ámbito,Encontrado en glosario,Sí,No,Sí,Sí,No,"por objeto compatibilizar la actividad laboral retribuida con los correspondientes procesos formativos en el ámbito de la formación profesional, los proceso formativo en el ámbito vo"
contrato formativo para el obtención,Encontrado en glosario,Sí,No,Sí,Sí,No,"certificados requeridos para concertar un contrato formativo para la obtención de práctica profesional regulada en el apartado 3. Sin perjuicio contrato formativo para el obtención El contrato formativo tendrá por objeto la formación en alternancia con el trabajo retribuido por cuenta ajena en los términos establecidos en el apartado 2, o el desempeño de una actividad laboral destinada a adquirir una práctica profesional adecuada a los correspondientes niveles de estudios, en los términos establecidos en el apartado 3"
contrato vinculado a  estudio,Encontrado en glosario,Sí,No,No,Sí,No,podrán realizar contratos vinculados a estudios de formación profesional o universitaria con personas que posean otra titulación siempre que no contrato vinculado a  estudio ivo
actividad desempeñado por el persona,Encontrado en glosario,Sí,No,Sí,Sí,No,"la empresa deberá estar directamente relacionada con las actividades formativas que justifican la contratación laboral, coordinándose e integrándose en un actividad desempeñado por el persona El contrato formativo tendrá por objeto la formación en alternancia con el trabajo retribuido por cuenta ajena en los términos establecidos en el apartado 2, o el desempeño de una actividad laboral destinada a adquirir una práctica profesional adecuada a los correspondientes niveles de estudios, en los términos establecidos en el apartado 3"
persona trabajador en el empresa,Encontrado en glosario,Sí,Sí,Sí,Sí,No,"directamente relacionada con las actividades formativas que justifican la contratación laboral, coordinándose e integrándose en un programa de formación común, persona trabajador en el empresa"
cooperación suscrito por el autoridad,Encontrado en glosario,Sí,No,Sí,Sí,No,"formación profesional o Universidades con empresas y entidades colaboradoras. d) La persona contratada contará con una persona tutora designada por cooperación suscrito por el autoridad El contrato formativo tendrá por objeto la formación en alternancia con el trabajo retribuido por cuenta ajena en los términos establecidos en el apartado 2, o el desempeño de una actividad laboral destinada a adquirir una práctica profesional adecuada a los correspondientes niveles de estudios, en los términos establecidos en el apartado 3"
experiencia adecuado para tal tarea,No encontrado,No,No,No,No,No,"en la empresa, según lo previsto en el acuerdo de cooperación concertado con el centro o entidad formativa. Dicho centro experiencia adecuado para tal tarea"
cooperación concertado con el centro,Encontrado en glosario,Sí,No,Sí,Sí,No,"garantizar la coordinación con la persona tutora en la empresa. e) Los centros de formación profesional, las entidades formativas acreditadas cooperación concertado con el centro o entidad formativa"
persona tutoro en el empresa,Encontrado en glosario,Sí,Sí,Sí,Sí,No,"centros universitarios, en el marco de los acuerdos y convenios de cooperación, elaborarán, con la participación de la empresa, los persona tutoro en el empresa tivo"
parte sustancial de este contrato,Encontrado en glosario,Sí,No,Sí,Sí,No,"por la empresa y el centro. Reglamentariamente se desarrollarán el sistema de impartición y las características de la formación, así parte sustancial de este contrato tanto la formación teórica dispensada por el centro o entidad de formación o la propia empresa, cuando así se establezca, como la correspondiente formación práctica dispensada por la empresa y el centro"
