Patrón,Estado,N1 en Glosario,Adj1 en Glosario,N2 en Glosario,Adj2 en Glosario,N1+Adj1 en Glosario,N2+Adj2 en Glosario,Adj1 en Lista Específica,Adj2 en Lista Específica,Contexto
causa habilitante de la contratación temporal,Segundo sustantivo en glosario,Sí,No,Sí,Sí,No,No,No,No,"temporalidad será necesario que se especifiquen con precisión en el contrato la causa habilitante de la contratación temporal, las circunstancias causa habilitante de la contratación temporal , las circunstancias concretas que la justifican y su conexión con la duración prevista"
desajuste temporal entre el empleo estable,Segundo sustantivo en glosario,No,Sí,Sí,No,No,No,No,No,"de la empresa, generan un desajuste temporal entre el empleo estable disponible y el que se requiere, siempre que no desajuste temporal entre el empleo estable disponible y el que se requiere, siempre que no respondan a los supuestos incluidos en el artículo 16"
representación legal de las persona trabajadora,Segundo sustantivo en glosario,Sí,Sí,Sí,Sí,No,No,No,No,"de este contrato la realización de los trabajos en el marco de contratas, subcontratas o concesiones administrativas que constituyan la representación legal de las persona trabajadora 1"
jornada reducido por otra persona trabajador,Segundo sustantivo en glosario,No,No,Sí,Sí,No,No,No,No,causa de la sustitución. El contrato de sustitución podrá ser también celebrado para la cobertura temporal de un puesto de jornada reducido por otra persona trabajador jo
anuncio público en un lugar adecuado,Parcialmente encontrado,No,No,No,No,No,No,Sí,No,"copia básica de los mismos. 8. Los convenios colectivos podrán establecer planes de reducción de la temporalidad, así como fijar anuncio público en un lugar adecuado de la empresa o centro de trabajo, o mediante otros medios previstos en la negociación colectiva, que aseguren la transmisión de la información"
medio previsto en la negociación colectivo,Segundo sustantivo en glosario,No,No,Sí,Sí,No,No,No,Sí,así como fijar criterios generales relativos a la adecuada relación entre el volumen de la contratación de carácter temporal y medio previsto en la negociación colectivo bajo
representación legal de las persona trabajadora,Segundo sustantivo en glosario,Sí,Sí,Sí,Sí,No,No,No,No,"empresa, criterios objetivos de conversión de los contratos de duración determinada o temporales en indefinidos, así como fijar porcentajes máximos representación legal de las persona trabajadora 1"
representación legal de las persona trabajadora,Segundo sustantivo en glosario,Sí,Sí,Sí,Sí,No,No,No,No,"fijar porcentajes máximos de temporalidad y las consecuencias derivadas del incumplimiento de los mismos. Asimismo, los convenios colectivos podrán establecer representación legal de las persona trabajadora 1"
acceso efectivo de estas persona trabajadora,Segundo sustantivo en glosario,Sí,No,Sí,Sí,No,No,No,No,"público de empleo correspondiente un certificado de los contratos de duración determinada o temporales celebrados, a los efectos de poder acceso efectivo de estas persona trabajadora jo"
persona trabajadora a las acción incluido,Segundo sustantivo en glosario,Sí,Sí,Sí,No,No,No,No,No,"un certificado de los contratos de duración determinada o temporales celebrados, a los efectos de poder acreditar su condición de persona trabajadora a las acción incluido abajo"
