Término,Patrón N+ADJ,Estado,Noun en Glosario,Adj en Glosario,Contexto
salario mínimo,N/A,No encontrado,No,No,"SALARIO MÍNIMO: de las percepciones salariales del trabajador, ni dar lugar a la minoración de la cuan tía íntegra en dinero del [salario mínimo] interprofesional"
trabajo efectivo,N/A,No encontrado,No,No,"
TRABAJO EFECTIVO: trabajadores, en dinero o en especie, por la prestación profesional de los servicios laborales por cuenta ajena, ya retribuyan el [trabajo efectivo] , cualquiera que sea la forma de remuneración, o los periodos de descanso computables como de trabajo"
salario,N/A,No encontrado,No,No, Del [salario] 
salario,N/A,No encontrado,No,No," Se considerará [salario] la totalidad de las percepciones económicas de los trabajadores, en dinero o en especie, por la prestación profesional de los servicios laborales por cuenta ajena, ya retribuyan el trabajo efectivo, cualquiera que sea la forma de remuneración, o los periodos de descanso computables como de trabajo"
salario,N/A,No encontrado,No,No," En ningún caso, incluidas las relaciones laborales de carácter especial a que se refiere el artículo 2, el [salario] en especie podrá superar el treinta por ciento de las percepciones salariales del trabajador, ni dar lugar a la minoración de la cuan
tía íntegra en dinero del salario mínimo interprofesional"
salario,N/A,No encontrado,No,No,"
SALARIO: de las percepciones salariales del trabajador, ni dar lugar a la minoración de la cuan tía íntegra en dinero del [salario] mínimo interprofesional"
salario,N/A,No encontrado,No,No," No tendrán la consideración de [salario] las cantidades perci
bidas por el trabajador en concepto de indemnizaciones o suplidos por los gastos realizados como consecuencia de su actividad laboral, las prestaciones e indemnizaciones de la Seguridad Social y las indemnizaciones correspondientes a traslados, suspensiones o despidos"
salario,N/A,No encontrado,No,No," Mediante la negociación colectiva o, en su defecto, el contrato individual, se determinará la estructura del [salario] , que deberá comprender el salario base, como retribución fijada por unidad de tiempo o de obra y, en su caso, complementos salariales fijados en función de circunstancias relativas a las condiciones personales del trabajador, al trabajo realizado o a la situación y resultados de la empresa, que se calcularán conforme a los criterios que a tal efecto se pacten"
salario,N/A,No encontrado,No,No,"
SALARIO: la negociación colectiva o, en su defecto, el contrato individual, se determinará la estructura del salario, que deberá comprender el [salario] base, como retribución fijada por unidad de tiempo o de obra y, en su caso, complementos salariales fijados en función de circunstancias relativas a las condiciones personales del trabajador, al trabajo realizado o a la situación y resultados de la empresa, que se calcularán conforme a los criterios que a tal efecto se pacten"
descanso,N/A,No encontrado,No,No,"
DESCANSO: laborales por cuenta ajena, ya retribuyan el trabajo efectivo, cualquiera que sea la forma de remuneración, o los periodos de [descanso] computables como de trabajo"
cargo,N/A,No encontrado,No,No," Todas las cargas fiscales y de Seguridad Social a [cargo] del trabajador serán satisfechas por el mismo, siendo nulo todo pacto en contrario"
salario mínimo interprofesional,N/A,No encontrado,No,No,"
SALARIO MÍNIMO INTERPROFESIONAL: de las percepciones salariales del trabajador, ni dar lugar a la minoración de la cuan tía íntegra en dinero del [salario mínimo interprofesional] "
defecto,N/A,No encontrado,No,No," Mediante la negociación colectiva o, en su [defecto] , el contrato individual, se determinará la estructura del salario, que deberá comprender el salario base, como retribución fijada por unidad de tiempo o de obra y, en su caso, complementos salariales fijados en función de circunstancias relativas a las condiciones personales del trabajador, al trabajo realizado o a la situación y resultados de la empresa, que se calcularán conforme a los criterios que a tal efecto se pacten"
prestación,prestación profesional,Parcialmente encontrado,Sí,No," Se considerará salario la totalidad de las percepciones económicas de los trabajadores, en dinero o en especie, por la [prestación] profesional de los servicios laborales por cuenta ajena, ya retribuyan el trabajo efectivo, cualquiera que sea la forma de remuneración, o los periodos de descanso computables como de trabajo"
negociación colectiva,N/A,No encontrado,No,No," Mediante la [negociación colectiva] o, en su defecto, el contrato individual, se determinará la estructura del salario, que deberá comprender el salario base, como retribución fijada por unidad de tiempo o de obra y, en su caso, complementos salariales fijados en función de circunstancias relativas a las condiciones personales del trabajador, al trabajo realizado o a la situación y resultados de la empresa, que se calcularán conforme a los criterios que a tal efecto se pacten"
trabajo,N/A,No encontrado,No,No,"
TRABAJO: trabajadores, en dinero o en especie, por la prestación profesional de los servicios laborales por cuenta ajena, ya retribuyan el [trabajo] efectivo, cualquiera que sea la forma de remuneración, o los periodos de descanso computables como de trabajo"
trabajo,N/A,No encontrado,No,No,"
TRABAJO: ya retribuyan el trabajo efectivo, cualquiera que sea la forma de remuneración, o los periodos de descanso computables como de [trabajo] "
