Término,Patrón N+ADJ,Estado,Noun en Glosario,Adj en Glosario
salario mínimo,N/A,No encontrado,No,No
salario mínimo,N/A,No encontrado,No,No
salario mínimo,N/A,No encontrado,No,No
salario mínimo,N/A,No encontrado,No,No
salario mínimo,N/A,No encontrado,No,No
salario mínimo,N/A,No encontrado,No,No
salario,salario mínimo,Parcialmente encontrado,Sí,No
salario,salario mínimo,Parcialmente encontrado,Sí,No
salario,salario mínimo,Parcialmente encontrado,Sí,No
salario,salario mínimo,Parcialmente encontrado,Sí,No
salario,salario mensual,Parcialmente encontrado,Sí,No
salario,salario mínimo,Parcialmente encontrado,Sí,No
salario,salario mínimo,Parcialmente encontrado,Sí,No
salario,salario mínimo,Parcialmente encontrado,Sí,No
cuantía,N/A,No encontrado,No,No
cuantía,N/A,No encontrado,No,No
cuantía,N/A,No encontrado,No,No
periodo,N/A,No encontrado,No,No
productividad,productividad media,Parcialmente encontrado,Sí,No
revisión,revisión semestral,Parcialmente encontrado,Sí,No
revisión,revisión semestral,Parcialmente encontrado,Sí,No
salario mínimo interprofesional,N/A,No encontrado,No,No
salario mínimo interprofesional,N/A,No encontrado,No,No
salario mínimo interprofesional,N/A,No encontrado,No,No
salario mínimo interprofesional,N/A,No encontrado,No,No
salario mínimo interprofesional,N/A,No encontrado,No,No
salario mínimo interprofesional,N/A,No encontrado,No,No
cómputo anual,N/A,No encontrado,No,No
cómputo anual,N/A,No encontrado,No,No
participación,N/A,No encontrado,No,No
gratificación,N/A,No encontrado,No,No
trabajo,N/A,No encontrado,No,No
gratificaciones extraordinarias,N/A,No encontrado,No,No
renta,renta nacional,Parcialmente encontrado,Sí,Sí
