Patrón N+ADJ,Estado,Patrón en Glosario,Noun en Glosario,Adj en Glosario,Adj en Lista Específica,Contexto
convenios colectivos,Encontrado en glosario,Sí,Sí,Sí,No,artículo . jornada. . la duración de la jornada de trabajo será la pactada en los convenios convenios colectivos contratos de trabajo. la duración máxima de la jornada ordinaria de trabajo será de cuarenta
duración máxima,No encontrado,No,No,No,No,duración de la jornada de trabajo será la pactada en los convenios colectivos o contratos de trabajo. la duración máxima duración máxima jornada ordinaria de trabajo será de cuarenta horas semanales de trabajo efectivo de promedio en
jornada ordinaria,Parcialmente encontrado,No,No,Sí,Sí,de trabajo será la pactada en los convenios colectivos o contratos de trabajo. la duración máxima de la jornada ordinaria jornada ordinaria será de cuarenta horas semanales de trabajo efectivo de promedio en cómputo anual. . mediante
horas semanales,No encontrado,No,No,No,No,"convenios colectivos o contratos de trabajo. la duración máxima de la jornada ordinaria de trabajo será de cuarenta horas semanales horas semanales efectivo de promedio en cómputo anual. . mediante convenio colectivo o, en su defecto, por"
trabajo efectivo,Parcialmente encontrado,No,Sí,No,No,"contratos de trabajo. la duración máxima de la jornada ordinaria de trabajo será de cuarenta horas semanales de trabajo efectivo trabajo efectivo en cómputo anual. . mediante convenio colectivo o, en su defecto, por acuerdo entre la"
cómputo anual,Parcialmente encontrado,No,Sí,No,No,"máxima de la jornada ordinaria de trabajo será de cuarenta horas semanales de trabajo efectivo de promedio en cómputo anual. cómputo anual convenio colectivo o, en su defecto, por acuerdo entre la empresa y los representantes de"
convenio colectivo,Encontrado en glosario,Sí,Sí,Sí,No,"de trabajo será de cuarenta horas semanales de trabajo efectivo de promedio en cómputo anual. . mediante convenio colectivo o, convenio colectivo defecto, por acuerdo entre la empresa y los representantes de los trabajadores, se podrá establecer"
distribución irregular,No encontrado,No,No,No,No,"acuerdo entre la empresa y los representantes de los trabajadores, se podrá establecer la distribución irregular de la jornada a distribución irregular del año. en defecto de pacto, la empresa podrá distribuir de manera irregular a lo"
manera irregular,No encontrado,No,No,No,No,"largo del año. en defecto de pacto, la empresa podrá distribuir de manera irregular a lo largo del año el manera irregular ciento de la jornada de trabajo. dicha distribución deberá respetar en todo caso los periodos"
descanso diario,Encontrado en glosario,Sí,Sí,No,No,dicha distribución deberá respetar en todo caso los periodos mínimos de descanso diario y semanal previstos en la ley y descanso diario deberá conocer con un preaviso mínimo de cinco días el día y la hora de
preaviso mínimo,Parcialmente encontrado,No,Sí,No,No,"previstos en la ley y el trabajador deberá conocer con un preaviso mínimo de cinco días el día y la preaviso mínimo la prestación de trabajo resultante de aquella. la compensación de las diferencias, por exceso o"
trabajo resultante,Parcialmente encontrado,No,Sí,No,No,"cinco días el día y la hora de la prestación de trabajo resultante de aquella. la compensación de las diferencias, trabajo resultante o por defecto, entre la jornada realizada y la duración máxima de la jornada ordinaria"
jornada realizada,No encontrado,No,No,No,No,"diferencias, por exceso o por defecto, entre la jornada realizada y la duración máxima de la jornada ordinaria de trabajo jornada realizada pactada será exigible según lo acordado en convenio colectivo o, a falta de previsión al"
duración máxima,No encontrado,No,No,No,No,"por defecto, entre la jornada realizada y la duración máxima de la jornada ordinaria de trabajo legal o pactada será duración máxima lo acordado en convenio colectivo o, a falta de previsión al respecto, por acuerdo entre"
jornada ordinaria,Parcialmente encontrado,No,No,Sí,Sí,"jornada realizada y la duración máxima de la jornada ordinaria de trabajo legal o pactada será exigible según lo acordado jornada ordinaria colectivo o, a falta de previsión al respecto, por acuerdo entre la empresa y los"
trabajo legal,Parcialmente encontrado,No,Sí,Sí,No,"la duración máxima de la jornada ordinaria de trabajo legal o pactada será exigible según lo acordado en convenio colectivo trabajo legal falta de previsión al respecto, por acuerdo entre la empresa y los representantes de los"
convenio colectivo,Encontrado en glosario,Sí,Sí,Sí,No,"o pactada será exigible según lo acordado en convenio colectivo o, a falta de previsión al respecto, por acuerdo entre convenio colectivo y los representantes de los trabajadores. en defecto de pacto, las diferencias derivadas de la"
diferencias derivadas,No encontrado,No,No,No,No,"defecto de pacto, las diferencias derivadas de la distribución irregular de la jornada deberán quedar compensadas en el plazo de diferencias derivadas desde que se produzcan. . entre el final de una jornada y el comienzo de"
distribución irregular,No encontrado,No,No,No,No,"diferencias derivadas de la distribución irregular de la jornada deberán quedar compensadas en el plazo de doce meses desde que distribución irregular . entre el final de una jornada y el comienzo de la siguiente mediarán, como"
trabajo efectivo,Parcialmente encontrado,No,Sí,No,No,"trabajo efectivo no podrá ser superior a nueve diarias, salvo que por convenio colectivo o, en su defecto, acuerdo entre trabajo efectivo y los representantes de los trabajadores, se establezca otra distribución del tiempo de trabajo diario,"
convenio colectivo,Encontrado en glosario,Sí,Sí,Sí,No,"colectivo o, en su defecto, acuerdo entre la empresa y los representantes de los trabajadores, se establezca otra distribución del convenio colectivo trabajo diario, respetando en todo caso el descanso entre jornadas. los trabajadores menores de dieciocho"
trabajo diario,Parcialmente encontrado,No,Sí,No,No,"todo caso el descanso entre jornadas. los trabajadores menores de dieciocho años no podrán realizar más de ocho horas diarias trabajo diario efectivo, incluyendo, en su caso, el tiempo dedicado a la formación y, si trabajasen para"
trabajadores menores,Parcialmente encontrado,No,Sí,Sí,No,"podrán realizar más de ocho horas diarias de trabajo efectivo, incluyendo, en su caso, el tiempo dedicado a la formación trabajadores menores trabajasen para varios empleadores, las horas realizadas con cada uno de ellos. . siempre que"
horas diarias,No encontrado,No,No,No,No,"en su caso, el tiempo dedicado a la formación y, si trabajasen para varios empleadores, las horas realizadas con cada horas diarias ellos. . siempre que la duración de la jornada diaria continuada exceda de seis horas,"
trabajo efectivo,Parcialmente encontrado,No,Sí,No,No,"el tiempo dedicado a la formación y, si trabajasen para varios empleadores, las horas realizadas con cada uno de ellos. trabajo efectivo que la duración de la jornada diaria continuada exceda de seis horas, deberá establecerse un"
tiempo dedicado,No encontrado,No,No,No,No,"varios empleadores, las horas realizadas con cada uno de ellos. . siempre que la duración de la jornada diaria continuada tiempo dedicado seis horas, deberá establecerse un periodo de descanso durante la misma de duración no inferior"
horas realizadas,No encontrado,No,No,No,No,"duración de la jornada diaria continuada exceda de seis horas, deberá establecerse un periodo de descanso durante la misma de horas realizadas inferior a quince minutos. este periodo de descanso se considerará tiempo de trabajo efectivo cuando"
jornada diaria,No encontrado,No,No,No,No,descanso durante la misma de duración no inferior a quince minutos. este periodo de descanso se considerará tiempo de trabajo jornada diaria así esté establecido o se establezca por convenio colectivo o contrato de trabajo. en el
trabajo efectivo,Parcialmente encontrado,No,Sí,No,No,"de trabajo. en el caso de los trabajadores menores de dieciocho años, el periodo de descanso tendrá una duración mínima trabajo efectivo minutos, y deberá establecerse siempre que la duración de la jornada diaria continuada exceda de"
convenio colectivo,Encontrado en glosario,Sí,Sí,Sí,No,"dieciocho años, el periodo de descanso tendrá una duración mínima de treinta minutos, y deberá establecerse siempre que la duración convenio colectivo jornada diaria continuada exceda de cuatro horas y media. . el tiempo de trabajo se"
trabajadores menores,Parcialmente encontrado,No,Sí,Sí,No,"minutos, y deberá establecerse siempre que la duración de la jornada diaria continuada exceda de cuatro horas y media. . trabajadores menores de trabajo se computará de modo que tanto al comienzo como al final de la"
duración mínima,No encontrado,No,No,No,No,continuada exceda de cuatro horas y media. . el tiempo de trabajo se computará de modo que tanto al comienzo duración mínima final de la jornada diaria el trabajador se encuentre en su puesto de trabajo. .
jornada diaria,No encontrado,No,No,No,No,"modo que tanto al comienzo como al final de la jornada diaria el trabajador se encuentre en su puesto de jornada diaria anualmente se elaborará por la empresa el calendario laboral, debiendo exponerse un ejemplar del mismo"
jornada diaria,No encontrado,No,No,No,No,"el calendario laboral, debiendo exponerse un ejemplar del mismo en un lugar visible de cada centro de trabajo. . el jornada diaria propuesta de la persona titular del ministerio de trabajo, migraciones y seguridad social y previa"
calendario laboral,Encontrado en glosario,Sí,No,Sí,Sí,"gobierno, a propuesta de la persona titular del ministerio de trabajo, migraciones y seguridad social y previa consulta a las calendario laboral y empresariales más representativas, podrá establecer ampliaciones o limitaciones en la ordenación y duración de"
lugar visible,No encontrado,No,No,No,No,"migraciones y seguridad social y previa consulta a las organizaciones sindicales y empresariales más representativas, podrá establecer ampliaciones o limitaciones lugar visible ordenación y duración de la jornada de trabajo y de los descansos, así como especialidades"
persona titular,Parcialmente encontrado,No,Sí,Sí,No,"establecer ampliaciones o limitaciones en la ordenación y duración de la jornada de trabajo y de los descansos, así como persona titular las obligaciones de registro de jornada, para aquellos sectores, trabajos y categorías profesionales que por"
seguridad social,Encontrado en glosario,Sí,Sí,Sí,Sí,"de la jornada de trabajo y de los descansos, así como especialidades en las obligaciones de registro de jornada, para seguridad social trabajos y categorías profesionales que por sus peculiaridades así lo requieran. . las personas trabajadoras"
organizaciones sindicales,Encontrado en glosario,Sí,No,Sí,Sí,"los descansos, así como especialidades en las obligaciones de registro de jornada, para aquellos sectores, trabajos y categorías profesionales que organizaciones sindicales peculiaridades así lo requieran. . las personas trabajadoras tienen derecho a solicitar las adaptaciones de"
categorías profesionales,Encontrado en glosario,Sí,Sí,Sí,Sí,"de trabajo, en la ordenación del tiempo de trabajo y en la forma de prestación, incluida la prestación de su categorías profesionales distancia, para hacer efectivo su derecho a la conciliación de la vida familiar y laboral."
personas trabajadoras,Parcialmente encontrado,No,Sí,Sí,No,"forma de prestación, incluida la prestación de su trabajo a distancia, para hacer efectivo su derecho a la conciliación de personas trabajadoras familiar y laboral. dichas adaptaciones deberán ser razonables y proporcionadas en relación con las necesidades"
vida familiar,Parcialmente encontrado,No,No,Sí,Sí,"el caso de que tengan hijos o hijas, las personas trabajadoras tienen derecho a efectuar dicha solicitud hasta que los vida familiar hijas cumplan doce años. asimismo, tendrán ese derecho aquellas que tengan necesidades de cuidado respecto"
persona trabajadora,Parcialmente encontrado,No,Sí,Sí,No,"los hijos o hijas cumplan doce años. asimismo, tendrán ese derecho aquellas que tengan necesidades de cuidado respecto de los persona trabajadora hijas mayores de doce años, el cónyuge o pareja de hecho, familiares por consanguinidad hasta"
necesidades organizativas,Parcialmente encontrado,No,Sí,No,No,"doce años. asimismo, tendrán ese derecho aquellas que tengan necesidades de cuidado respecto de los hijos e hijas mayores de necesidades organizativas el cónyuge o pareja de hecho, familiares por consanguinidad hasta el segundo grado de la"
personas trabajadoras,Parcialmente encontrado,No,Sí,Sí,No,"de doce años, el cónyuge o pareja de hecho, familiares por consanguinidad hasta el segundo grado de la persona trabajadora, personas trabajadoras de otras personas dependientes cuando, en este último caso, convivan en el mismo domicilio, y"
hijas mayores,Parcialmente encontrado,No,Sí,Sí,Sí,"mismo domicilio, y que por razones de edad, accidente o enfermedad no puedan valerse por sí mismos, debiendo justificar las hijas mayores las que fundamenta su petición. en la negociación colectiva se podrán establecer, con respeto a"
persona trabajadora,Parcialmente encontrado,No,Sí,Sí,No,"las que fundamenta su petición. en la negociación colectiva se podrán establecer, con respeto a lo dispuesto en este apartado, persona trabajadora de su ejercicio, que se acomodarán a criterios y sistemas que garanticen la ausencia de"
personas dependientes,Parcialmente encontrado,No,Sí,No,No,"negociación colectiva se podrán establecer, con respeto a lo dispuesto en este apartado, los términos de su ejercicio, que se personas dependientes criterios y sistemas que garanticen la ausencia de discriminación, tanto directa como indirecta, entre personas"
