Patrón N+PREP+N,Noun1,Preposición,Noun2,Lema Noun1,Lema Noun2,Lema del Patrón,Patrón en Glosario,Noun1 en Glosario,Noun2 en Glosario,Sufijo N1,Sufijo N2,Estado,Contexto
jornada de trabajo,jornada,de,trabajo,jornada,trabajo,jornada de trabajo,Sí,No,Sí,No,No,Encontrado en glosario,Artículo 34. Jornada. 1. La duración de la jornada de trabajo será jornada de trabajo los convenios colectivos o contratos de trabajo. La duración máxima de la jornada ordinaria de
contratos de trabajo,contratos,de,trabajo,contratos,trabajo,contratos de trabajo,No,No,Sí,No,No,Parcialmente encontrado,jornada de trabajo será la pactada en los convenios colectivos o contratos de trabajo. La contratos de trabajo la jornada ordinaria de trabajo será de cuarenta horas semanales de trabajo efectivo de promedio
promedio en cómputo,promedio,en,cómputo,promedio,cómputo,promedio en cómputo,No,No,Sí,No,No,Parcialmente encontrado,"será de cuarenta horas semanales de trabajo efectivo de promedio en cómputo anual. 2. Mediante promedio en cómputo en su defecto, por acuerdo entre la empresa y los representantes de los trabajadores, se"
defecto de pacto,defecto,de,pacto,defecto,pacto,defecto de pacto,No,No,Sí,No,No,Parcialmente encontrado,"año. En defecto de pacto, la empresa podrá distribuir de manera irregular a lo largo defecto de pacto diez por ciento de la jornada de trabajo. Dicha distribución deberá respetar en todo caso"
jornada de trabajo,jornada,de,trabajo,jornada,trabajo,jornada de trabajo,Sí,No,Sí,No,No,Encontrado en glosario,la jornada de trabajo. Dicha distribución deberá respetar en todo caso los periodos mínimos de jornada de trabajo semanal previstos en la ley y el trabajador deberá conocer con un preaviso mínimo de
mínimos de descanso,mínimos,de,descanso,mínimos,descanso,mínimos de descanso,No,No,Sí,No,No,Parcialmente encontrado,de descanso diario y semanal previstos en la ley y el trabajador deberá conocer con mínimos de descanso de cinco días el día y la hora de la prestación de trabajo resultante de
prestación de trabajo,prestación,de,trabajo,prestación,trabajo,prestación de trabajo,No,Sí,Sí,Sí,No,Parcialmente encontrado,"de trabajo resultante de aquella. La compensación de las diferencias, por exceso o por defecto, prestación de trabajo realizada y la duración máxima de la jornada ordinaria de trabajo legal o pactada será"
falta de previsión,falta,de,previsión,falta,previsión,falta de previsión,No,Sí,No,No,Sí,Parcialmente encontrado,"entre la empresa y los representantes de los trabajadores. En defecto de pacto, las diferencias falta de previsión distribución irregular de la jornada deberán quedar compensadas en el plazo de doce meses desde"
previsión al respecto,previsión,al,respecto,previsión,respecto,previsión al respecto,No,No,No,Sí,No,No encontrado,"empresa y los representantes de los trabajadores. En defecto de pacto, las diferencias derivadas de previsión al respecto de la jornada deberán quedar compensadas en el plazo de doce meses desde que se"
defecto de pacto,defecto,de,pacto,defecto,pacto,defecto de pacto,No,No,Sí,No,No,Parcialmente encontrado,"irregular de la jornada deberán quedar compensadas en el plazo de doce meses desde que defecto de pacto Entre el final de una jornada y el comienzo de la siguiente mediarán, como mínimo,"
número de horas,número,de,horas,número,hora,número de hora,No,No,No,No,No,No encontrado,"convenio colectivo o, en su defecto, acuerdo entre la empresa y los representantes de los número de horas otra distribución del tiempo de trabajo diario, respetando en todo caso el descanso entre jornadas."
ordinarias de trabajo,ordinarias,de,trabajo,ordinarias,trabajo,ordinarias de trabajo,No,No,Sí,No,No,Parcialmente encontrado,"en su defecto, acuerdo entre la empresa y los representantes de los trabajadores, se establezca ordinarias de trabajo tiempo de trabajo diario, respetando en todo caso el descanso entre jornadas. Los trabajadores menores"
distribución del tiempo,distribución,del,tiempo,distribución,tiempo,distribución del tiempo,No,No,No,Sí,No,No encontrado,"podrán realizar más de ocho horas diarias de trabajo efectivo, incluyendo, en su caso, el distribución del tiempo la formación y, si trabajasen para varios empleadores, las horas realizadas con cada uno de"
tiempo de trabajo,tiempo,de,trabajo,tiempo,trabajo,tiempo de trabajo,No,No,Sí,No,No,Parcialmente encontrado,"más de ocho horas diarias de trabajo efectivo, incluyendo, en su caso, el tiempo dedicado tiempo de trabajo y, si trabajasen para varios empleadores, las horas realizadas con cada uno de ellos. 4."
descanso entre jornadas,descanso,entre,jornadas,descanso,jornadas,descanso entre jornadas,Sí,Sí,No,No,No,Encontrado en glosario,"su caso, el tiempo dedicado a la formación y, si trabajasen para varios empleadores, las descanso entre jornadas cada uno de ellos. 4. Siempre que la duración de la jornada diaria continuada exceda"
