Término,Patrón N+ADJ,Estado,Noun en Glosario,Adj en Glosario,Contexto Completo
personal,N/A,No encontrado,No,No,"PERSONAL: acumulables. Contra la negativa de la empresa, y previo informe del comité o, en su caso, de los delegados de  [personal] , el trabajador podrá reclamar ante la jurisdicción social."
comité,N/A,No encontrado,No,No,"
COMITÉ: de reclamar la diferencia salarial correspondiente. Estas acciones serán acumulables. Contra la negativa de la empresa, y previo informe del  [comité] o, en su caso, de los delegados de personal, el trabajador podrá reclamar ante la jurisdicción social."
delegados de personal,N/A,No encontrado,No,No,"
DELEGADOS DE PERSONAL: acciones serán acumulables. Contra la negativa de la empresa, y previo informe del comité o, en su caso, de los  [delegados de personal] , el trabajador podrá reclamar ante la jurisdicción social."
empresario,N/A,No encontrado,No,No,"
EMPRESARIO: posible si existen, además, razones técnicas u organizativas que la justifiquen y por el tiempo imprescindible para su atención. El  [empresario] deberá comunicar su decisión y las razones de esta a los representantes de los trabajadores."
periodo,periodo superior,Parcialmente encontrado,No,Sí,"
PERIODO: los representantes de los trabajadores. En el caso de encomienda de funciones superiores a las del grupo profesional por un  [periodo] superior a seis meses durante un año u ocho durante dos años, el trabajador podrá reclamar el ascenso, si a ello no obsta lo dispuesto en convenio colectivo o, en todo caso, la cobertura de la vacante correspondiente a las funciones por él realizadas conforme a las reglas en materia de ascensos aplicables en la empresa, sin perjuicio de reclamar la diferencia salarial correspondiente."
convenio colectivo,N/A,No encontrado,No,No,"
CONVENIO COLECTIVO: año u ocho durante dos años, el trabajador podrá reclamar el ascenso, si a ello no obsta lo dispuesto en  [convenio colectivo] o, en todo caso, la cobertura de la vacante correspondiente a las funciones por él realizadas conforme a las reglas en materia de ascensos aplicables en la empresa, sin perjuicio de reclamar la diferencia salarial correspondiente."
convenio colectivo,N/A,No encontrado,No,No,"
CONVENIO COLECTIVO: previstas para las modificaciones sustanciales de condiciones de trabajo o a las que a tal fin se hubieran establecido en  [convenio colectivo] ."
derecho,N/A,No encontrado,No,No,"
DERECHO: periodos distintos de los expresados en este artículo a efectos de reclamar la cobertura de vacantes. 3. El trabajador tendrá  [derecho] a la retribución correspondiente a las funciones que efectivamente realice, salvo en los casos de encomienda de funciones inferiores, en los que mantendrá la retribución de origen."
perjuicio,N/A,No encontrado,No,No,"
PERJUICIO: correspondiente a las funciones por él realizadas conforme a las reglas en materia de ascensos aplicables en la empresa, sin  [perjuicio] de reclamar la diferencia salarial correspondiente."
ascenso,N/A,No encontrado,No,No,"
ASCENSO: por un periodo superior a seis meses durante un año u ocho durante dos años, el trabajador podrá reclamar el  [ascenso] , si a ello no obsta lo dispuesto en convenio colectivo o, en todo caso, la cobertura de la vacante correspondiente a las funciones por él realizadas conforme a las reglas en materia de ascensos aplicables en la empresa, sin perjuicio de reclamar la diferencia salarial correspondiente."
origen,N/A,No encontrado,No,No,"
ORIGEN: funciones que efectivamente realice, salvo en los casos de encomienda de funciones inferiores, en los que mantendrá la retribución de  [origen] ."
prestación,prestación laboral,Parcialmente encontrado,Sí,No,"
PRESTACIÓN: funcional en la empresa se efectuará de acuerdo a las titulaciones académicas o profesionales preci - sas para ejercer la  [prestación] laboral y con respeto a la dignidad del trabajador."
negociación colectiva,N/A,No encontrado,No,No,"
NEGOCIACIÓN COLECTIVA: comité o, en su caso, de los delegados de personal, el trabajador podrá reclamar ante la jurisdicción social. Mediante la  [negociación colectiva] se podrán establecer periodos distintos de los expresados en este artículo a efectos de reclamar la cobertura de vacantes."
jurisdicción social,N/A,No encontrado,No,No,"
JURISDICCIÓN SOCIAL: y previo informe del comité o, en su caso, de los delegados de personal, el trabajador podrá reclamar ante la  [jurisdicción social] ."
jurisdicción,jurisdicción social,Encontrado en glosario,Sí,Sí,"
JURISDICCIÓN: y previo informe del comité o, en su caso, de los delegados de personal, el trabajador podrá reclamar ante la  [jurisdicción] social."
despido,despido objetivo,Encontrado en glosario,Sí,Sí,"
DESPIDO: casos de encomienda de funciones inferiores, en los que mantendrá la retribución de origen. No cabrá invocar como causa de  [despido] objetivo la ineptitud sobrevenida o la falta de adaptación en los supuestos de realización de funciones distintas de las habituales como consecuencia de la movilidad funcional."
despido objetivo,N/A,No encontrado,No,No,"
DESPIDO OBJETIVO: casos de encomienda de funciones inferiores, en los que mantendrá la retribución de origen. No cabrá invocar como causa de  [despido objetivo] la ineptitud sobrevenida o la falta de adaptación en los supuestos de realización de funciones distintas de las habituales como consecuencia de la movilidad funcional."
colectivo,convenio colectivo,Encontrado en glosario,Sí,Sí,"
COLECTIVO: u ocho durante dos años, el trabajador podrá reclamar el ascenso, si a ello no obsta lo dispuesto en convenio  [colectivo] o, en todo caso, la cobertura de la vacante correspondiente a las funciones por él realizadas conforme a las reglas en materia de ascensos aplicables en la empresa, sin perjuicio de reclamar la diferencia salarial correspondiente."
colectivo,convenio colectivo,Encontrado en glosario,Sí,Sí,"
COLECTIVO: para las modificaciones sustanciales de condiciones de trabajo o a las que a tal fin se hubieran establecido en convenio  [colectivo] ."
empresa,N/A,No encontrado,No,No,"
EMPRESA: Artículo 39. Movilidad funcional. 1. La movilidad funcional en la  [empresa] se efectuará de acuerdo a las titulaciones académicas o profesionales preci - sas para ejercer la prestación laboral y con respeto a la dignidad del trabajador."
empresa,N/A,No encontrado,No,No,"
EMPRESA: la vacante correspondiente a las funciones por él realizadas conforme a las reglas en materia de ascensos aplicables en la  [empresa] , sin perjuicio de reclamar la diferencia salarial correspondiente."
empresa,N/A,No encontrado,No,No,"
EMPRESA: en la empresa, sin perjuicio de reclamar la diferencia salarial correspondiente. Estas acciones serán acumulables. Contra la negativa de la  [empresa] , y previo informe del comité o, en su caso, de los delegados de personal, el trabajador podrá reclamar ante la jurisdicción social."
movilidad funcional,N/A,No encontrado,No,No,"
MOVILIDAD FUNCIONAL: Artículo 39.  [movilidad funcional] ."
movilidad funcional,N/A,No encontrado,No,No,"
MOVILIDAD FUNCIONAL: Artículo 39. Movilidad funcional. 1. La  [movilidad funcional] en la empresa se efectuará de acuerdo a las titulaciones académicas o profesionales preci - sas para ejercer la prestación laboral y con respeto a la dignidad del trabajador."
movilidad funcional,N/A,No encontrado,No,No,"
MOVILIDAD FUNCIONAL: o profesionales preci - sas para ejercer la prestación laboral y con respeto a la dignidad del trabajador. 2. La  [movilidad funcional] para la realización de funciones, tanto superiores como inferiores, no correspondientes al grupo profesional solo será posible si existen, además, razones técnicas u organizativas que la justifiquen y por el tiempo imprescindible para su atención."
movilidad funcional,N/A,No encontrado,No,No,"
MOVILIDAD FUNCIONAL: o la falta de adaptación en los supuestos de realización de funciones distintas de las habituales como consecuencia de la  [movilidad funcional] ."
dignidad,N/A,No encontrado,No,No,"
DIGNIDAD: acuerdo a las titulaciones académicas o profesionales preci - sas para ejercer la prestación laboral y con respeto a la  [dignidad] del trabajador."
