Patrón N+ADJ , Estado , Patrón en Glosario , Noun en Glosario , adj en Glosario , Entrada ADJ en Glosario , adj en Lista Específica , Contexto 
 precepto jurídico , no encontrado , no , no , no , no , sí,"contrato de trabajo , este permanecer [ válido ] en él restante , y él entender completar con el precepto jurídico adecuado conforme a precepto jurídico 9 " 
 remuneración consiguiente , parcialmente encontrado , no , Sí , no , no , no,"poir exigir , por el trabajo que ya haber prestar , el remuneración consiguiente a uno contrato [ válido ] . SEXO : haber prestar , remuneración consiguiente a uno contrato [ válido ] " 
 remuneración consiguiente , parcialmente encontrado , no , Sí , no , no , no,"a uno contrato [ válido ] . SEXO : haber prestar , el remuneración consiguiente a uno contrato válido . 3 . en caso de nulidad remuneración consiguiente a uno contrato [ válido ] " 
 contrato válido , parcialmente encontrado , no , Sí , no , no , no , " . SEXO : haber prestar , el remuneración consiguiente a uno contrato válido . 3 . en caso de nulidad por discriminación salarial por contrato válido " 
 discriminación salarial , parcialmente encontrado , no , Sí , no , no , Sí,"válido . 3 . en caso de nulidad por discriminación salarial por razón de [ sexo ] , el trabajador tener derecho a el discriminación salarial por razón de [ sexo ] , el trabajador tener derecho a el retribución correspondiente al trabajo igual o de igual valor " 
 retribución correspondiente , parcialmente encontrado , no , Sí , no , no , No,"[sexo ] , el trabajador tener derecho a el retribución correspondiente al trabajo igual o de igual valor . discriminación : por el retribución correspondiente al trabajo igual o de igual valor " 
 trabajo igual , parcialmente encontrado , no , Sí , no , no , no , trabajador tener derecho a el retribución correspondiente al trabajo igual o de igual valor . discriminación : por el trabajo que ya trabajar igual o de igual valor 
 remuneración consiguiente , parcialmente encontrado , no , Sí , no , no , no,"que ya haber prestar , el remuneración consiguiente a uno contrato válido . 3 . en caso de nulidad por [ discriminación ] salarial por remuneración consiguiente a uno contrato [ válido ] " 
 contrato válido , parcialmente encontrado , no , Sí , no , no , No,"la remuneración consiguiente a uno contrato válido . 3 . en caso de nulidad por [ discriminación ] salarial por razón de sexo , el contrato válido " 
 retribución correspondiente , parcialmente encontrado , no , Sí , no , no , no , derecho a el retribución correspondiente al trabajo igual o de igual valor . DERECHO : consiguiente a uno contrato válido . 3 . en retribución correspondiente al trabajo igual o de igual valor 
