Artículo,TP_exact,TP_partial,FP,FN,Precision,Recall,F1,F2,Avg_Norm_Levenshtein
articulo_1,18,8,55,40,0.32098765432098764,0.3939393939393939,0.3537414965986394,0.37681159420289856,0.75
articulo_2,0,0,19,22,0.0,0.0,0.0,0.0,
articulo_3,5,4,33,17,0.21428571428571427,0.34615384615384615,0.2647058823529412,0.30821917808219174,0.6666666666666666
articulo_4,19,13,49,19,0.3950617283950617,0.6274509803921569,0.48484848484848486,0.5614035087719298,0.6324786324786325
articulo_5,4,3,21,14,0.25,0.3333333333333333,0.28571428571428575,0.3125,0.7222222222222222
articulo_6,5,2,29,9,0.19444444444444445,0.4375,0.2692307692307693,0.35000000000000003,0.5833333333333333
articulo_7,4,2,29,13,0.17142857142857143,0.3157894736842105,0.22222222222222224,0.2702702702702703,0.7333333333333334
articulo_8,14,15,42,43,0.4084507042253521,0.4027777777777778,0.4055944055944056,0.403899721448468,0.6601851851851852
articulo_9,2,1,17,20,0.15,0.13043478260869565,0.13953488372093023,0.13392857142857142,0.5
articulo_10,8,2,28,2,0.2631578947368421,0.8333333333333334,0.39999999999999997,0.5813953488372092,0.625
articulo_11,42,42,152,61,0.3559322033898305,0.5793103448275863,0.44094488188976383,0.5147058823529411,0.6398895416752559
articulo_12,38,38,206,32,0.2695035460992908,0.7037037037037037,0.38974358974358975,0.5322128851540616,0.6112155388471179
articulo_13,5,2,19,2,0.2692307692307692,0.7777777777777778,0.39999999999999997,0.564516129032258,0.7333333333333334
articulo_14,16,7,69,17,0.25,0.575,0.34848484848484845,0.45634920634920634,0.7714285714285714
articulo_15,31,21,85,57,0.3795620437956204,0.47706422018348627,0.42276422764227645,0.45375218150087265,0.6829365079365078
articulo_16,28,16,87,33,0.33587786259541985,0.5714285714285714,0.4230769230769231,0.5011389521640092,0.80625
articulo_17,16,18,37,42,0.4788732394366197,0.4473684210526316,0.46258503401360546,0.45333333333333337,0.6557539682539681
articulo_18,5,3,24,8,0.25,0.5,0.3333333333333333,0.4166666666666667,0.7222222222222222
articulo_19,25,5,81,23,0.2702702702702703,0.5660377358490566,0.3658536585365854,0.4643962848297214,0.8333333333333333
articulo_20,20,9,37,18,0.4393939393939394,0.6170212765957447,0.5132743362831859,0.5708661417322834,0.719047619047619
articulo_21,8,6,34,21,0.2916666666666667,0.4,0.3373493975903615,0.3723404255319149,0.6527777777777778
articulo_22,11,7,42,11,0.3,0.6206896551724138,0.40449438202247195,0.5113636363636364,0.8986394557823129
articulo_23,14,16,72,16,0.29411764705882354,0.6521739130434783,0.4054054054054054,0.5244755244755245,0.6586681547619048
articulo_24,9,2,38,7,0.22448979591836735,0.6111111111111112,0.3283582089552239,0.45454545454545453,0.65
articulo_25,4,1,24,9,0.1724137931034483,0.35714285714285715,0.23255813953488377,0.2941176470588235,0.5
articulo_26,8,9,61,29,0.21794871794871795,0.3695652173913043,0.27419354838709675,0.32442748091603063,0.7648148148148148
articulo_27,5,3,31,8,0.20512820512820512,0.5,0.29090909090909095,0.3883495145631068,0.611111111111111
articulo_28,9,4,29,14,0.30952380952380953,0.48148148148148145,0.37681159420289856,0.4333333333333333,0.75
articulo_29,16,9,43,18,0.36764705882352944,0.5813953488372093,0.4504504504504505,0.5208333333333334,0.6166666666666667
articulo_30,60,1,20,0,0.7530864197530864,1.0,0.8591549295774648,0.9384615384615385,0.5
articulo_31,13,2,43,3,0.25862068965517243,0.8333333333333334,0.39473684210526316,0.576923076923077,0.75
articulo_32,10,4,25,13,0.358974358974359,0.5185185185185185,0.42424242424242425,0.4761904761904762,0.7083333333333333
articulo_33,62,26,128,65,0.4074074074074074,0.5751633986928104,0.4769647696476964,0.5314009661835748,0.6796474358974358
articulo_34,41,17,132,45,0.30526315789473685,0.5631067961165048,0.3959044368600682,0.48172757475083056,0.626445123503947
articulo_35,5,7,38,25,0.24,0.32432432432432434,0.27586206896551724,0.30303030303030304,0.5761904761904761
articulo_36,20,12,40,27,0.4444444444444444,0.5423728813559322,0.48854961832061067,0.5194805194805195,0.7152777777777777
articulo_37,69,35,212,67,0.3291139240506329,0.6081871345029239,0.4271047227926078,0.5199999999999999,0.6747619047619048
articulo_38,11,6,38,25,0.3090909090909091,0.40476190476190477,0.3505154639175258,0.3811659192825112,0.5722222222222222
articulo_39,15,9,85,20,0.22018348623853212,0.5454545454545454,0.3137254901960784,0.42105263157894735,0.6583333333333334
articulo_40,45,22,108,46,0.38285714285714284,0.5929203539823009,0.4652777777777778,0.5342902711323764,0.7099025974025973
