Artículo,TP_exact,TP_partial,FP,FN,Precision,Recall,F1,F2,Avg_Norm_Levenshtein
articulo_1,2,3,17,59,0.22727272727272727,0.078125,0.11627906976744184,0.08992805755395683,0.8333333333333334
articulo_2,0,8,4,14,0.6666666666666666,0.36363636363636365,0.4705882352941177,0.4,0.8816868894993894
articulo_3,3,5,17,18,0.32,0.3076923076923077,0.3137254901960784,0.31007751937984496,0.7833333333333333
articulo_4,3,2,19,43,0.20833333333333334,0.10416666666666667,0.1388888888888889,0.11574074074074076,0.9166666666666667
articulo_5,0,0,4,21,0.0,0.0,0.0,0.0,
articulo_6,1,1,5,13,0.2857142857142857,0.13333333333333333,0.18181818181818182,0.14925373134328357,0.9285714285714286
articulo_7,0,4,6,15,0.4,0.21052631578947367,0.27586206896551724,0.2325581395348837,0.8661858974358974
articulo_8,20,9,22,52,0.5686274509803921,0.35802469135802467,0.43939393939393934,0.3866666666666666,0.6444444444444444
articulo_9,1,1,1,21,0.6666666666666666,0.08695652173913043,0.15384615384615383,0.10526315789473684,0.9230769230769231
articulo_10,0,0,1,7,0.0,0.0,0.0,0.0,
articulo_11,35,46,117,64,0.4090909090909091,0.5586206896551724,0.4723032069970845,0.5205655526992287,0.7366287094547965
articulo_12,10,11,37,71,0.3620689655172414,0.22826086956521738,0.27999999999999997,0.24647887323943662,0.6212121212121212
articulo_13,3,3,13,4,0.3157894736842105,0.6,0.41379310344827586,0.5084745762711864,0.7428571428571429
articulo_14,21,7,27,23,0.509090909090909,0.5490196078431373,0.5283018867924528,0.5405405405405406,0.7797619047619048
articulo_15,29,20,40,60,0.550561797752809,0.44954128440366975,0.49494949494949503,0.4666666666666667,0.7062878787878788
articulo_16,6,22,30,47,0.4827586206896552,0.37333333333333335,0.4210526315789474,0.39106145251396646,0.6663059163059163
articulo_17,9,6,32,57,0.3191489361702128,0.20833333333333334,0.2521008403361345,0.22388059701492538,0.6984126984126985
articulo_18,1,4,3,11,0.625,0.3125,0.4166666666666667,0.3472222222222222,0.8224358974358974
articulo_19,14,12,16,18,0.6190476190476191,0.5909090909090909,0.6046511627906977,0.5963302752293579,0.6962801087801088
articulo_20,11,9,13,18,0.6060606060606061,0.5263157894736842,0.5633802816901409,0.5405405405405405,0.6259259259259259
articulo_21,6,12,5,16,0.782608695652174,0.5294117647058824,0.631578947368421,0.5660377358490566,0.7125
articulo_22,4,3,9,20,0.4375,0.25925925925925924,0.3255813953488372,0.28225806451612906,0.6666666666666666
articulo_23,12,5,14,27,0.5483870967741935,0.38636363636363635,0.4533333333333333,0.41062801932367154,0.7333333333333333
articulo_24,2,1,5,15,0.375,0.16666666666666666,0.23076923076923078,0.1875,0.5
articulo_25,4,2,3,8,0.6666666666666666,0.42857142857142855,0.5217391304347826,0.4615384615384615,0.75
articulo_26,2,7,7,35,0.5625,0.20454545454545456,0.3,0.234375,0.5
articulo_27,6,2,3,9,0.7272727272727273,0.47058823529411764,0.5714285714285714,0.5063291139240507,0.825
articulo_28,9,2,18,16,0.3793103448275862,0.4074074074074074,0.39285714285714285,0.4014598540145985,0.7065217391304348
articulo_29,18,0,15,23,0.5454545454545454,0.43902439024390244,0.48648648648648646,0.4568527918781726,
articulo_30,4,1,1,3,0.8333333333333334,0.625,0.7142857142857143,0.6578947368421053,0.75
articulo_31,2,0,5,8,0.2857142857142857,0.2,0.23529411764705882,0.2127659574468085,
articulo_32,8,7,10,13,0.6,0.5357142857142857,0.5660377358490566,0.5474452554744527,0.5654761904761905
articulo_33,24,31,60,85,0.4782608695652174,0.39285714285714285,0.4313725490196078,0.4074074074074074,0.7453149001536099
articulo_34,16,13,25,55,0.5370370370370371,0.34523809523809523,0.42028985507246375,0.3717948717948718,0.7223443223443223
articulo_35,10,3,11,25,0.5416666666666666,0.34210526315789475,0.4193548387096774,0.3693181818181818,0.375
articulo_36,14,6,13,34,0.6060606060606061,0.37037037037037035,0.45977011494252873,0.40160642570281124,0.7222222222222222
articulo_37,43,48,94,71,0.4918918918918919,0.5617283950617284,0.5244956772334294,0.546218487394958,0.6996540496540495
articulo_38,8,2,14,30,0.4166666666666667,0.25,0.3125,0.2717391304347826,0.3318181818181818
articulo_39,4,6,21,26,0.3225806451612903,0.2777777777777778,0.29850746268656714,0.2857142857142857,0.7198412698412698
articulo_40,24,26,57,60,0.4672897196261682,0.45454545454545453,0.4608294930875576,0.45703839122486295,0.7187280668049898
