Artículo,TP_exact,TP_partial,FP,FN,Precision,Recall,F1,F2,Avg_Norm_Levenshtein
articulo_1,16,7,23,43,0.5,0.3484848484848485,0.41071428571428575,0.3709677419354839,0.6785714285714286
articulo_2,0,3,5,19,0.375,0.13636363636363635,0.19999999999999998,0.15625,0.8796296296296297
articulo_3,6,5,6,15,0.6470588235294118,0.4230769230769231,0.5116279069767442,0.4545454545454546,0.7166666666666667
articulo_4,3,9,9,35,0.5714285714285714,0.2553191489361702,0.35294117647058826,0.28708133971291866,0.7461640211640213
articulo_5,12,4,10,9,0.6153846153846154,0.64,0.6274509803921569,0.6349206349206349,0.5
articulo_6,2,1,4,12,0.42857142857142855,0.2,0.27272727272727276,0.2238805970149254,0.6666666666666666
articulo_7,5,1,20,14,0.23076923076923078,0.3,0.2608695652173913,0.2830188679245283,0.5
articulo_8,17,9,32,48,0.4482758620689655,0.35135135135135137,0.393939393939394,0.36723163841807904,0.547979797979798
articulo_9,13,1,4,11,0.7777777777777778,0.56,0.6511627906976745,0.5932203389830509,0.5
articulo_10,0,4,1,3,0.8,0.5714285714285714,0.6666666666666666,0.6060606060606061,0.8854166666666667
articulo_11,24,19,52,90,0.45263157894736844,0.3233082706766917,0.37719298245614036,0.3429027113237639,0.6629554655870444
articulo_12,58,23,83,39,0.49390243902439024,0.675,0.5704225352112676,0.6288819875776399,0.6492753623188406
articulo_13,2,1,1,4,0.75,0.42857142857142855,0.5454545454545454,0.46875,0.6666666666666666
articulo_14,19,4,13,23,0.6388888888888888,0.5,0.5609756097560975,0.5227272727272727,0.39166666666666666
articulo_15,44,23,60,56,0.5275590551181102,0.5447154471544715,0.536,0.5411954765751211,0.6731884057971014
articulo_16,15,10,40,51,0.38461538461538464,0.32894736842105265,0.35460992907801425,0.3387533875338754,0.725
articulo_17,13,15,27,44,0.509090909090909,0.3888888888888889,0.4409448818897638,0.4081632653061224,0.7349206349206348
articulo_18,3,1,2,12,0.6666666666666666,0.25,0.36363636363636365,0.2857142857142857,0.6666666666666666
articulo_19,14,13,39,24,0.4090909090909091,0.5294117647058824,0.46153846153846156,0.4999999999999999,0.6538461538461539
articulo_20,10,6,15,23,0.5161290322580645,0.41025641025641024,0.4571428571428572,0.4278074866310161,0.5694444444444444
articulo_21,15,1,11,23,0.5925925925925926,0.41025641025641024,0.4848484848484849,0.43715846994535523,0.5
articulo_22,8,2,13,17,0.43478260869565216,0.37037037037037035,0.39999999999999997,0.38167938931297707,0.875
articulo_23,26,4,12,23,0.7142857142857143,0.5660377358490566,0.631578947368421,0.5905511811023622,0.6791666666666667
articulo_24,5,2,9,11,0.4375,0.3888888888888889,0.411764705882353,0.3977272727272727,0.5
articulo_25,2,1,0,11,1.0,0.21428571428571427,0.35294117647058826,0.2542372881355932,0.5
articulo_26,14,6,71,27,0.21978021978021978,0.425531914893617,0.28985507246376807,0.3584229390681004,0.611111111111111
articulo_27,8,2,15,8,0.4,0.5555555555555556,0.46511627906976744,0.5154639175257731,0.5833333333333333
articulo_28,1,5,13,21,0.3157894736842105,0.2222222222222222,0.2608695652173913,0.23622047244094485,0.738095238095238
articulo_29,15,8,23,24,0.5,0.48936170212765956,0.4946236559139785,0.4914529914529914,0.5364583333333333
articulo_30,8,1,7,1,0.5625,0.9,0.6923076923076923,0.8035714285714286,0.6666666666666666
articulo_31,0,0,4,10,0.0,0.0,0.0,0.0,
articulo_32,6,2,5,19,0.6153846153846154,0.2962962962962963,0.4,0.3305785123966942,0.6666666666666666
articulo_33,103,28,114,60,0.5346938775510204,0.6858638743455497,0.6009174311926605,0.6491575817641229,0.5867063492063492
articulo_34,49,9,91,47,0.38926174496644295,0.5523809523809524,0.4566929133858268,0.5096660808435852,0.662962962962963
articulo_35,8,3,15,25,0.4230769230769231,0.3055555555555556,0.3548387096774194,0.3235294117647059,0.5555555555555555
articulo_36,16,15,72,27,0.30097087378640774,0.5344827586206896,0.3850931677018633,0.46268656716417905,0.6666666666666666
articulo_37,87,31,176,72,0.4013605442176871,0.6210526315789474,0.487603305785124,0.5597722960151803,0.627287855513662
articulo_38,16,4,50,23,0.2857142857142857,0.46511627906976744,0.3539823008849557,0.4132231404958677,0.625
articulo_39,9,4,21,23,0.38235294117647056,0.3611111111111111,0.3714285714285714,0.3651685393258427,0.75
articulo_40,58,23,105,48,0.43548387096774194,0.627906976744186,0.5142857142857142,0.5769230769230769,0.62324016563147
